first name,last name,email,phone,profile picture,gender,password
Aarav,Kumar,aarav.kumar@gmail.com,9.19877E+11,profile.jpg,1,password123
Aisha,Singh,aisha.singh@gmail.com,9.18765E+11,profile.jpg,2,password456
Advait,Patel,advait.patel@gmail.com,9.17654E+11,profile.jpg,1,password789
Ananya,Sharma,ananya.sharma@gmail.com,9.16543E+11,profile.jpg,2,passwordabc
Aaradhya,Gupta,aaradhya.gupta@gmail.com,9.15432E+11,profile.jpg,1,passwordxyz
Aryan,Verma,aryan.verma@gmail.com,9.14321E+11,profile.jpg,1,password123
Amaira,Reddy,amaira.reddy@gmail.com,9.13211E+11,profile.jpg,2,password456
Advika,Khan,advika.khan@gmail.com,9.1211E+11,profile.jpg,2,password789
Anay,Shah,anay.shah@gmail.com,9.11099E+11,profile.jpg,1,passwordabc
Avani,Joshi,avani.joshi@gmail.com,9.19877E+11,profile.jpg,2,passwordxyz
